name,ring,quadrant,isNew,description
"JavaScript (ES Module)","Adopt","Languages & Frameworks",TRUE,"Primary language using native ESM with type:module in package.json."
"Vue 3","Adopt","Languages & Frameworks",TRUE,"Primary UI framework using Composition API throughout."
"Pinia","Adopt","Languages & Frameworks",TRUE,"Official Vue 3 state management library."
"SignalR Client","Adopt","Languages & Frameworks",TRUE,"Real-time communication client for WebSocket-based audio streaming."
"Axios","Adopt","Languages & Frameworks",TRUE,"HTTP client with centralized instance and interceptors."
"Auth SDK (internal)","Adopt","Languages & Frameworks",TRUE,"Internal authentication SDK handling token injection and SSO flows."
"Three.js","Trial","Languages & Frameworks",TRUE,"3D rendering library used for avatar features, currently behind a feature flag."
"MSAL Browser","Trial","Languages & Frameworks",TRUE,"Microsoft identity platform SDK, likely wrapped by the internal auth SDK."
"axios-retry","Trial","Languages & Frameworks",TRUE,"Retry middleware adding exponential backoff with jitter to the Axios instance."
"Vite","Adopt","Tools",TRUE,"Build tool and dev server with multi-environment build support."
"@vitejs/plugin-vue","Adopt","Tools",TRUE,"Vite plugin for Vue SFC compilation."
"SonarQube","Assess","Tools",TRUE,"Static analysis tool integrated via project catalog annotations."
"Docker","Adopt","Platforms",TRUE,"Container platform serving the frontend build via nginx."
"Nginx","Adopt","Platforms",TRUE,"Static server with SPA fallback routing."
"Kubernetes","Adopt","Platforms",TRUE,"Production orchestrator with Deployment, Service, and Ingress manifests."
"Azure DevOps","Adopt","Platforms",TRUE,"CI/CD platform for build and deployment pipelines."
"Backstage","Assess","Platforms",TRUE,"Developer portal with service catalog integration."
"Single Page Application","Adopt","Techniques",TRUE,"SPA architecture with client-side routing and nginx try_files fallback."
"WebSockets / Real-time Streaming","Adopt","Techniques",TRUE,"Real-time audio streaming with PCM queue and scheduled playback buffers."
"Web Audio API / AudioWorklet","Adopt","Techniques",TRUE,"Low-latency microphone capture using AudioWorkletProcessor on the audio thread."
"Composables Pattern","Adopt","Techniques",TRUE,"Vue 3 useXxx composables encapsulating reusable logic and state."
"Multi-environment Builds","Adopt","Techniques",TRUE,"Multiple .env files with Vite build modes for different deployment targets."
"Microfrontend Token SSO","Adopt","Techniques",TRUE,"Cross-app SSO via token injection from parent app through URL hash."
"Idempotent API Calls","Trial","Techniques",TRUE,"Idempotency keys on POST requests using crypto.randomUUID() to prevent duplicate operations."
